rank,name,symbol,price
1,Bitcoin,BTC,95166
2,Ethereum,ETH,3318.04
3,Tether,USDT,0.999638
4,BNB,BNB,945.64
5,XRP,XRP,2.06
6,Solana,SOL,142.43
7,USDC,USDC,0.999395
8,TRON,TRX,0.315881
9,Lido Staked Ether,STETH,3317.56
10,Dogecoin,DOGE,0.137269
11,Figure Heloc,FIGR_HELOC,1.0
12,Cardano,ADA,0.39369
13,Wrapped stETH,WSTETH,4064.1
14,WhiteBIT Coin,WBT,57.24
15,Wrapped Beacon ETH,WBETH,3609.27
16,Bitcoin Cash,BCH,594.37
17,Wrapped Bitcoin,WBTC,94945
18,Monero,XMR,603.31
19,Wrapped eETH,WEETH,3603.86
20,Chainlink,LINK,13.78
21,USDS,USDS,0.999538
22,Binance Bridged USDT (BNB Smart Chain),BSC-USD,0.999568
23,LEO Token,LEO,9.07
24,WETH,WETH,3318.74
25,Stellar,XLM,0.227075
26,Coinbase Wrapped BTC,CBBTC,95163
27,Sui,SUI,1.78
28,Zcash,ZEC,400.31
29,Ethena USDe,USDE,1.002
30,Hyperliquid,HYPE,25.88
31,Avalanche,AVAX,13.63
32,Litecoin,LTC,75.44
33,Hedera,HBAR,0.117508
34,Shiba Inu,SHIB,8.37e-06
35,USDT0,USDT0,0.999813
36,World Liberty Financial,WLFI,0.168281
37,Dai,DAI,0.999703
38,Canton,CC,0.115964
39,sUSDS,SUSDS,1.083
40,Toncoin,TON,1.72
41,Cronos,CRO,0.101492
42,Ethena Staked USDe,SUSDE,1.21
43,PayPal USD,PYUSD,0.999603
44,Polkadot,DOT,2.16
45,USD1,USD1,0.998633
46,Uniswap,UNI,5.32
47,Rain,RAIN,0.00937554
48,Mantle,MNT,0.948675
49,MemeCore,M,1.55
50,Bitget Token,BGB,3.77
51,Aave,AAVE,173.04
52,Bittensor,TAO,273.05
53,Pepe,PEPE,5.8e-06
54,OKB,OKB,114.1
55,Tether Gold,XAUT,4602.69
56,Internet Computer,ICP,4.06
57,NEAR Protocol,NEAR,1.71
58,Falcon USD,USDF,0.997318
59,Jito Staked SOL,JITOSOL,178.79
60,Binance-Peg WETH,WETH,3317.22
61,Ethereum Classic,ETC,12.75
62,PAX Gold,PAXG,4616.55
63,Aster,ASTER,0.71623
64,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
65,Ethena,ENA,0.215895
66,Pi Network,PI,0.203666
67,Wrapped SOL,SOL,142.35
68,HTX DAO,HTX,1.77e-06
69,Pump.fun,PUMP,0.00274282
70,Jupiter Perpetuals Liquidity Provider Token,JLP,4.89
71,Global Dollar,USDG,0.999701
72,Provenance Blockchain,HASH,0.02882204
73,Binance Staked SOL,BNSOL,155.7
74,KuCoin,KCS,11.49
75,POL (ex-MATIC),POL,0.142166
76,Worldcoin,WLD,0.541912
77,Circle USYC,USYC,1.11
78,Sky,SKY,0.064122
79,Ripple USD,RLUSD,0.999566
80,Wrapped BNB,WBNB,945.8
81,Aptos,APT,1.82
82,Rocket Pool ETH,RETH,3834.31
83,syrupUSDC,SYRUPUSDC,1.15
84,BFUSD,BFUSD,0.998985
85,Binance Bridged USDC (BNB Smart Chain),USDC,0.999702
86,Arbitrum,ARB,0.213734
87,Cosmos Hub,ATOM,2.5
88,Kelp DAO Restaked ETH,RSETH,3522.58
89,Ondo,ONDO,0.383073
90,Gate,GT,10.32
91,Kaspa,KAS,0.04415641
92,Quant,QNT,81.0
93,Algorand,ALGO,0.128662
94,Render,RENDER,2.18
95,Filecoin,FIL,1.53
96,USDD,USDD,1.001
97,Official Trump,TRUMP,5.26
98,Function FBTC,FBTC,95472
99,Dash,DASH,82.44
100,Lombard Staked BTC,LBTC,95096
